RoverRecord Artist,RoverRecord Bent Genre
"Beryl Reid, Barbara Windsor, Una Stubbs, Nicky Henson, Tudor Davies (2), Peter Gale, Audrey Fahey, Mike Sammes, Mike Sammes Singers, Chris Walker & His Orchestra",Stage & Screen
Bessie Smith,Blues
Bette Midler,Vocal
Better Oblivion Community Center,SodaPop
Betty Boo,Rap/Hip-hop
Betty Davis,Riot Grrrl Pluse Sic
Bettye Swann,R&B
Bhai Tarlochan Singh Ragi,International
Bhi Bhiman,Folk
Bhoomi,International
Bhundu Boys,International
Bhupinder Singh,International
Big Bill Broonzy,Blues
"Big Bill Broonzy, Memphis Slim , And Sonny Boy Williamson",Blues
Big Brother & The Holding Company,BoogerJam
Big Freedia,Rap/Hip-hop
Big Joe Turner,Blues
Big Maybelle,Blues
Big Star,PROTO
Big Thief,SodaPop
Bikini Kill,Riot Grrrl Pluse Sic
Bill Anderson (2),Billy
Bill Cosby,Billy
Bill Farrell,Billy
Bill Haley And His Comets,Billy
Bill Haley And The Saddlemen,Billy
Bill Hayes,Billy
Bill Monroe & His Blue Grass Boys,Billy
Bill Rice,Billy
Bill Withers,Billy
Billie Eilish,Billy
Billie Holiday,Billy
Billie Jo Spears,Billy
Billy Bragg,Billy
Billy Bragg & Wilco,Billy
Billy Eckstine,Billy
"Billy Eckstine, Sarah Vaughan",Billy
Billy Idol,Billy
Billy Joel,Billy
Billy Mure And Orchestra,Billy
Billy Ocean,Billy
Billy Preston,Billy
Billy Ray (16),Billy
Billy Squier,Billy
Billy Strings,Billy
Billy Thorpe,Billy
Billy Vaughn,Billy
Bing Crosby,Holiday
Bing Crosby,Vocal
Bing Crosby & Louis Armstrong,Vocal
Bing Crosby And The Andrews Sisters With Vic Schoen And His Orchestra,Vocal
Bing Crosby And The The Andrews Sisters With Vic Schoen And His Orchestra,Holiday
Bing Crosby And The The Andrews Sisters With Vic Schoen And His Orchestra,Vocal
Bing Crosby With John Scott Trotter And His Orchestra,Holiday
Bingtown Brass Band & Others,Childrens
Bishop Billy Robinson And The Garden Of Prayer Cathedral Choir,Religious
Bismillah Khan,International
Bix Beiderbecke,Jazz
Bjork,SingSong
Black Flag,Ska/Punk/Reggae
Black Ivory,R&B
Black Oak Arkansas,BoogerJam
Black Rebel Motorcycle Club,PsychPaisley
Black Sabbath,Metal
Blackberry Smoke,AtlantaVerse
Blackstreet,R&B
Blancmange,SodaPop
Blaze Foley,SingSong
Blind Lemon Jefferson,Blues
Blind Willie McTell,Blues
Blink-182,Ska/Punk/Reggae
Blondie,Ska/Punk/Reggae
"Blood, Sweat And Tears",PsychPaisley
Blue Ash,R&B
Blue Magic,R&B
Blue �yster Cult,Metal
Blues Magoos,PsychPaisley
Bo Diddley,PROTO
"Bo Diddley, Little Walter, Muddy Waters",PROTO
Bob & Doug McKenzie,Sound/Spoken/Comedy
Bob Dylan,Wilburys
Bob Dylan & The Band,Wilburys
Bob Dylan / The Band,Wilburys
Bob Geldof,SodaPop
Bob Marley & The Wailers,Ska/Punk/Reggae
Bob Newman,Billy
Bob Seger,SingSong
Bob Seger And The Silver Bullet Band,SingSong
Bob Wallis And His Storyville Jazzmen,Jazz
Bob Wills & His Texas Playboys,Billy
Bobby (Boris) Pickett And The Crypt-Kickers,Billy
Bobby Bare,SingSong
Bobby Bare And The Family,SingSong
Bobby Darin,SodaPop
Bobby Mitchell (2),R&B
Bobby Rydell,SodaPop
Bobby Vee,R&B
Bobby Womack,R&B
Body/Head,Mini Garage
Bomba Estéreo,International
Boney M.,GLAM
Bonnie Lou,Country
Bonnie Tyler,SingSong
Boogarins,PsychPaisley
Booker T & The MG's,R&B
Boots Randolph,Billy
Bootsy's New Rubber Band,GeorgeClintonFam
Bootsy's Rubber Band,GeorgeClintonFam
Boredoms,International
Boston,SodaPop
Bow Wow Wow,SodaPop
Box Tops,SodaPop
Boyd Rivers,Blues
boygenius,SingSong
Boz Scaggs,SodaPop
Brand Nubian,Rap/Hip-hop
Bread,SodaPop
Brenda Lee,Billy
Brian Eno,PROTO
Brian Eno & Beatie Wolfe,PROTO
Brian Ritchie,Billy
Brian Wilson,PROTO
Brick,AtlantaVerse
Brides Of Funkenstein,GeorgeClintonFam
Brother Joe May,Religious
Brothers Osborne,Country
Brown Bag Blues Band,Blues
Brownie McGhee,Blues
Brownsville Station,GLAM
Bruce McCulloch,Sound/Spoken/Comedy
Bruce Springsteen,Super
"Bruno Walter, Columbia Symphony Orchestra",Classical
"Bruno Walter, Franz Schubert, London Symphony Orchestra",Classical
Brute (2),AtlantaVerse
Bryan Adams,SodaPop
Bubba Sparxxx,Rap/Hip-hop
Buck Owens,Country
Buck Owens And His Buckaroos,Country
"Buck Owens, Tennessee Ernie Ford",Country
Bud And Travis,Folk
Buddy Clark (3),Vocal
Buddy Guy,Blues
Buddy Holly,Billy
Buddy Knox With The Rhythm Orchids,SodaPop
Buddy Rich And Alla Rakha,Jazz
Budhaditya Mukherjee,International
Buena Vista Social Club,International
Buffalo Springfield,NYCSN
Built To Spill,SodaPop
Bulu (2),International
Burl Ives,Folk
Busta Rhymes,Rap/Hip-hop
Busta Rhymes Featuring P. Diddy & Pharrell Williams,Rap/Hip-hop
"Busta Rhymes, Chingy, Fat Joe And Nick Cannon",Rap/Hip-hop
Butthole Surfers,Ska/Punk/Reggae
C. Ramchandra,International
C.W. McCall,Billy
Cab Calloway,Jazz
Cab Calloway And His Orchestra,Jazz
Cage The Elephant,SodaPop
Camel,PROTO
Cameo,R&B
Camila Cabello,SodaPop
Camper Van Beethoven,Ska/Punk/Reggae
Camper Van Beethoven / Cracker,Ska/Punk/Reggae
Candi Staton,R&B
Cannibal & The Headhunters,SodaPop
Cannonball Adderley,Jazz
"Capella Antiqua München, Konrad Ruhland",Classical
Captain Beefheart,Antelope Valley
Captain Beefheart & The Magic Band,Antelope Valley
Captain Beefheart And The Magic Band,Antelope Valley
Captain Beyond,Metal
Captain Sensible,Ska/Punk/Reggae
"Carl Berg, Various",Stage & Screen
"Carl Orff – Gundula Janowitz ∙ Gerhard Stolze ∙ Dietrich Fischer-Dieskau, Chor Der Deutschen Oper Berlin Und Orchester Der Deutschen Oper Berlin, Eugen Jochum",Classical
Carl Perkins,Billy
"Carl Philipp Emanuel Bach, Ars Rediviva Ensemble",Classical
Carl Sandburg,Sound/Spoken/Comedy
Carl Tipton,Country
Carlini's World Of Strings,Stage & Screen
"Carlo Gesualdo / Robert Craft, The Gesualdo Madrigal Singers",Classical
Carlos Santana & John McLaughlin,BoogerJam
Carly Simon,SingSong
Carole King,SingSong
Caspar Babypants,Childrens
Cat Power,AtlantaVerse
Cat Stevens,SingSong
Caterina Valente With Stanley Black & His Orchestra,Vocal
Caterina Valente With Werner Müller Und Sein Orchester,Vocal
Cavetown,SingSong
Cecil Campbell's Tennessee Ramblers,Billy
Cecil Taylor,Jazz
Cee-Lo,Rap/Hip-hop
Chairmen Of The Board,R&B
Chaka Khan,R&B
Chance The Rapper,Rap/Hip-hop
Chaotic Dischord,Ska/Punk/Reggae
Chappell Roan,GLAM
Charles Brown,Blues
Charles Brown / Amos Milburn,Blues
Charles Lloyd,Jazz
Charles Mingus,Jazz
Charley Crockett,Country
Charley Patton,Blues
Charley Pride,Billy
Charlie Byrd,Jazz
Charlie Daniels,Country
Charlie Louvin,Country
Charlie Monroe & His Kentucky Pardners,Billy
Charlie Parker,Jazz
Charlie Parr,SingSong
Charlie Spivak And His Orchestra,Jazz
Charo,SodaPop
Cheap Trick,Mini Garage
Cheech & Chong,Sound/Spoken/Comedy
Cher,Super
Cherry Vanilla,GLAM
Chet Atkins,Billy
Chet Atkins And Hank Snow,Billy
Chet Baker Quartet,Jazz
Chi Coltrane,Jazz
Chic,R&B
Chicago (2),SodaPop
Chick Corea,Jazz
Chick Webb,Jazz
Childish Gambino,Rap/Hip-hop
Chowder Shouters,AtlantaVerse
Chris Hillman,Country
Chris Kenner,Jazz
Chris Montez,SodaPop
Chris Rea,SodaPop
Chris Thile,Folk
Christian Travelers,SodaPop
"Christone ""Kingfish"" Ingram",Blues
Chubby Checker,R&B
Chuck Berry,PROTO
Chuck Brown And Eva Cassidy,Jazz
Chuck Reed (3),SodaPop
Chuck Wagon Gang,Country
Chuck Willis,R&B
Cindy Lee,SodaPop
Circle Jerks,Ska/Punk/Reggae
Cirque Du Soleil,Stage & Screen
