RoverRecord Artist,RoverRecord Bent Genre
Freddy Martin And His Orchestra,Jazz
"Fr�d�ric Chopin, Martha Argerich",Classical
Freshlyground,International
Fripp & Eno,PROTO
Fugazi,Mini Garage
Fugees,Rap/Hip-hop
Funkadelic,GeorgeClintonFam
G.C. Cameron,R&B
Gabe Kaplan,Sound/Spoken/Comedy
Galactic And Irma Thomas,R&B
Gang Of Four,SodaPop
Garbage,SodaPop
Gary Saracho,Jazz
Gary Wright,PsychPaisley
Gateway Four / Bret Barnes And The Coasters Orchestra,R&B
Gcina Mhlophe,Childrens
Geese (11),SodaPop
Geeta Dutt,International
Gene Ammons & Dexter Gordon,Jazz
Gene Autry,Billy
"Gene Autry, Rosemary Clooney",Billy
Gene Krupa And His Orchestra,Jazz
Gene Simmons (2),Billy
Gene Vincent & His Blue Caps,Billy
Generation X (4),Ska/Punk/Reggae
Genesis,PsychPaisley
Genya Ravan,R&B
"Georg Friedrich Händel - Heather Harper, Helen Watts, John Wakefield, John Shirley-Quirk, London Symphony Orchestra & London Symphony Chorus, Sir Colin Davis",Classical
"Georg Friedrich Handel - Heinz Holliger, English Chamber Orchestra, Kenneth Sillito, Raymond Leppard",Classical
"Georg Friedrich Handel - Janet Baker • Edith Mathis • Norma Burrowes, James Bowman (2) • David Rendall • Samuel Ramey, London Voices, English Chamber Orchestra, Raymond Leppard",Classical
"Georg Friedrich Handel, Collegium Aureum",Classical
"Georg Friedrich Handel, Elly Ameling, Halina Lukomska, Theo Altmeyer, Collegium Aureum",Classical
"Georg Friedrich Handel, Georg Philipp Telemann, Frans Brüggen, Gustav Leonhardt, Anner Bylsma",Classical
Georg Philipp Telemann / Barthold Kuijken,Classical
"Georg Philipp Telemann / Giuseppe Torelli / Leopold Mozart / Joseph Haydn / Pierre Thibaud, Bamberger Symphoniker, Otto Gerdes",Classical
"Georg Philipp Telemann, Alice Harnoncourt • Kees Boeke • Wouter Möller • Bob van Asperen",Classical
"Georg Philipp Telemann, Orchestre Pro Arte De Munich, Kurt Redel",Classical
"Georg Philipp Telemann, The Academy Of St. Martin-in-the-Fields, Sir Neville Marriner",Classical
George & Ira Gershwin,Stage & Screen
George Benson,R&B
George Carlin,Sound/Spoken/Comedy
George Clinton & P-Funk All Stars,GeorgeClintonFam
George Duke,Jazz
George Duke,R&B
"George Gershwin, Aaron Copland, London Philharmonic Orchestra, John Pritchard",Stage & Screen
George Harrison,Wilburys
George Jones & Melba Montgomery,Country
George Jones & Tammy Wynette & Tina Byrd,Country
George Jones (2),Country
"George Szell, Alexander Borodin / Pyotr Ilyich Tchaikovsky / Nikolai Rimsky-Korsakov / Modest Mussorgsky, The Cleveland Orchestra",Classical
"George Szell, Franz Schubert, The Cleveland Orchestra",Classical
"George Szell, Pyotr Ilyich Tchaikovsky, The Cleveland Orchestra",Classical
"Georges Bizet / Sergei Prokofiev, The Academy Of St. Martin-in-the-Fields, Sir Neville Marriner",Classical
Georgie Auld,Jazz
Gerald V. Casale,PROTO
Germs,Ska/Punk/Reggae
Gerry Mulligan And His Sextet,Jazz
"Gerry Mulligan, Ben Webster",Jazz
Ghulam Ali,International
Ghulam Mustafa Khan,International
Ginger Baker's Air Force,Super
Ginny Tyler,Stage & Screen
Gipsy Kings,International
Girija Devi,International
Girl In Red,SodaPop
"Giuseppe Tartini / Johannes Brahms - David Oistrach, Frida Bauer",Classical
"Giuseppe Torelli / Giovanni Bononcini / Domenico Gabrielli / Andrea Grossi And Giacomo Antonio Perti, Don Smithers, I Musici",Classical
Gladys Knight And The Pips,R&B
Glen Campbell,Country
Glen Gray & The Casa Loma Orchestra,SodaPop
Glenn Miller And His Orchestra,Jazz
Glenn Reeves And His Rock-Billys,Billy
"Gloria Aguilar, Rudy ""Tee"" Gonzales",International
Gnarls Barkley,Rap/Hip-hop
Goat (22),International
Gojira,Metal
Golden Earring,SodaPop
Goldfinger,Ska/Punk/Reggae
Gong,PsychPaisley
Goose Creek Symphony,BoogerJam
Gorillaz,Rap/Hip-hop
"Gottfried Heinrich St�lzel, Georg Friedrich Handel, Joseph Haydn, Carl Stamitz - Dresdner Kammersolisten Dir. Marcel Bernard",Classical
Govind Prasad Jaipurwale,International
Grace Bowers & The Hodge Podge,Blues
Gracie Abrams,SodaPop
Graham Nash,NYCSN
Graham Parker And The Rumour,SodaPop
Gram Parsons,SingSong
Grand Funk Railroad,R&B
Grandmaster Flash,Rap/Hip-hop
Grandmaster Flash & The Furious Five Feat.: Melle Mel & Duke Bootee,Rap/Hip-hop
"Grandmaster Flash, Melle Mel & The Furious Five",Rap/Hip-hop
Grandpa Jones,Billy
Grant Green,Jazz
Grayson Capps,Blues
Green Day,Ska/Punk/Reggae
Green On Red,SodaPop
"Gregor Piatigorsky, Ludwig van Beethoven With Artur Schnabel / Johannes Brahms With Arthur Rubinstein",Classical
Grinderman,PROTO
Grover Mitchell (2),R&B
"Grover Washington, Jr.",Jazz
Guadalcanal Diary,AtlantaVerse
Guadalcanal Diary,SodaPop
"Guillaume Dufay - The Early Music Consort Of London, David Munrow",Classical
Guitar Gable & The Musical Kings,Blues
"Gulzar, Bhupinder Singh",International
Gustav Mahler / Fritz Reiner / Chicago Symphony Orchestra / Lisa Della Casa,Classical
"Gustav Mahler, Bruno Walter, Columbia Symphony Orchestra",Classical
"Gustav Mahler, Columbia Symphony Orchestra, Bruno Walter",Classical
"Guy Carawan, Alan Lomax, Rev. Ben Gay",Sound/Spoken/Comedy
Guy Willis And His The Oklahoma Wranglers,Country
H. Dean Kelley,Religious
H. J. Kuntry,Country
Ha Ha Tonka,SodaPop
Habib Koite & Bamada,International
Hackberry Ramblers,International
Hafiz Ahmed Khan,International
Hailu Mergia,International
Haim (2),SodaPop
Hal Croft,Country
"Hal Ross, The Les Morgan Orchestra",Jazz
Halsey,SodaPop
Hamper McBee,Sound/Spoken/Comedy
Hand Habits,SodaPop
Hank Ballard & The Midnighters,R&B
Hank Locklin,Country
Hank Mobley,Jazz
Hank Snow And His The Rainbow Ranch Boys,Country
Hank Thompson And His Brazos Valley Boys,Billy
Hank Williams,PROTO
Hank Williams Jr.,Country
Hank Williams With His Drifting Cowboys,PROTO
Hanni El Khatib,Mini Garage
Hante.,Electronic
Hardie Gramatky Read By Hans Conried,Childrens
Hariprasad Chaurasia,International
Hariprasad Chaurasia / Pandit Shiv Kumar Sharma,International
Harlan Howard,Country
Harold And Mary Jane LeCrone,Childrens
Harold Melvin And The Blue Notes,R&B
Harry Belafonte,Vocal
Harry Cool And His Orchestra,Jazz
Harry James And His Big Band,Jazz
Harry James And His Orchestra,Jazz
Harry Nilsson,SingSong
Harry Smith,Folk
Harvie June Van,Country
Haussein Shiekh And Radio Mogadisco Swahili Singers,International
Hayseed Dixie,Billy
Haysi Fantayzee,SodaPop
Heartless Bastards,Mini Garage
Heavy Trash,SodaPop
"Hector Berlioz - Concertgebouworkest, Sir Colin Davis",Classical
Helen Reddy,Country
Hem (2),SodaPop
"Hemant Kumar, Shakeel Badayuni",International
Henry Mancini,Jazz
Henry Mancini,Stage & Screen
Henry Mancini & Doc Severinsen,Stage & Screen
Henry Mancini And His Orchestra,Stage & Screen
Henry Rollins,Sound/Spoken/Comedy
Herb Alpert & The Tijuana Brass,Jazz
Herbi Hardt And His Jovial Jesters,Childrens
Herbie Hancock,Jazz
Herbie Mann,Jazz
Hermanos Guti�rrez,International
Himangshu Biswas,International
Himangshu Biswas And Dulal Roy,International
Hindu Love Gods,AtlantaVerse
Hoa Đăng,International
Hoagy Carmichael With The Chickadees (2) And Vic Schoen And His Orchestra,Vocal
Hoodoo Gurus,Mini Garage
Hop Along,SodaPop
Horace Silver,Jazz
Hot Lips Page,Jazz
Hot-Toddys,SodaPop
House Of Waters,SodaPop
Houston Person,R&B
Howdy Doody With Bob Smith (4) And The Howdy Doody Cast,Childrens
Howlin' Wolf,Blues
Hubcap City,AtlantaVerse
"Huey ""Piano"" Smith & His Clowns",R&B
Hugh Masekela,Jazz
Hugh Masekela With Bushmen Of The Kalahari,International
Hugo Blanco And Los Avila,International
Hugo Montenegro,Stage & Screen
Hugo Montenegro And His Orchestra,Stage & Screen
Hum,SodaPop
Human Sexual Response,Ska/Punk/Reggae
Husker Du,PROTO
I. Kadez / The Scotties,SodaPop
Ian Dury,Ska/Punk/Reggae
Ian Noe,Folk
Ian Tyson,Country
Ibrahim Ferrer,International
Idles,SodaPop
"Igor Kipnis , Wolfgang Amadeus Mozart / Joseph Haydn, The London Strings · Sir Neville Marriner",Classical
Ihsan al Munzer,International
Ike & Tina Turner,R&B
Ilegales,Ska/Punk/Reggae
Imagine Dragons,SodaPop
Inez Andrews,Religious
Inhaler (12),Metal
Interpol,SodaPop
INXS,Super
Irene Cara,SodaPop
Irma Thomas,R&B
Iron Maiden,Metal
Isaac Hayes,R&B
"Ivan Tors, Luke Halpin (2)",Childrens
Ivanildo José Da Silva,International
J.S. Ondara,SodaPop
J.T. Adams And The Men Of Texas,Country
Jack Cardwell,Country
Jack Greene,Country
Jack Logan,Mini Garage
Jack Wilson,Jazz
Jackie Lee,R&B
Jackie McLean,Jazz
Jackie Wilson,R&B
Jackson Browne,SingSong
Jaco Pastorius,Jazz
Jagjit & Chitra Singh,International
"Jagjit Singh, Sudha Malhotra",International
"Jaidev, Sahir Ludhianvi",International
Jaki Byard,Jazz
Jaki Byard Trio,Jazz
Jakob Dylan,SodaPop
James Blood Ulmer,Jazz
James Brown,PROTO
James Brown,R&B
James Brown & The Famous Flames,PROTO
James Galway & Kyung-Wha Chung With Phillip Moll And Moray Welsh - Johann Sebastian Bach,Classical
James Govan,R&B
James Last,Vocal
James Last & His Hammond Bar Combo,Vocal
James Moody,Jazz
James Talley,Country
James Taylor (2),SingSong
Janelle Mon�e,Rap/Hip-hop
Janis Joplin,PROTO
Janis Martin (2),Billy
Japanese Breakfast,SodaPop
Jason & The Scorchers,Billy
Jason Isbell,AtlantaVerse
Jason Isbell And The 400 Unit,AtlantaVerse
Jay Lee Webb,Country
Jaya Bose And Himangshu Biswas,International
Jay-Z Featuring Ja Rule & Amil,Rap/Hip-hop
Jean Ritchie And Doc Watson,Folk
Jean Shepard,Country
"Jean-Baptiste Loeillet, Jacob Jan Van Eyck, Georg Philipp Telemann, François Couperin, Robert Carr (3), Johann Christoph Pepusch",Classical
Jeannie C. Riley,Billy
Jean-Pierre Rampal - Johann Sebastian Bach,Classical
"Jean-Pierre Rampal, Eugenia Zukerman, Pinchas Zukerman With Charles Tunnell - Johann Christian Bach / Wilhelm Friedemann Bach / Wilhelm Friedrich Ernst Bach",Classical
"Jean-Pierre Rampal, Georg Friedrich Handel, Robert Veyron-Lacroix",Classical
Jeff Beck,British Invasion
"Jeff Beck, Johnny Depp",British Invasion
Jeff Buckley,SingSong
Jeff Buckley & Gary Lucas,SingSong
Jefferson Airplane,BoogerJam
Jefferson Airplane,PsychPaisley
Jefferson Starship,SodaPop
Jelly Roll Morton,Jazz
Jenny Hval,Electronic
Jenny Lewis,SingSong
Jerry Butler,R&B
Jerry Clower,Sound/Spoken/Comedy
Jerry Lee Lewis,Billy
Jerry Murad's Harmonicats,SodaPop
Jerry Reed,Billy
Jerry Wallace,Country
Jesse Fuller,AtlantaVerse
Jessi Colter,Country
Jessie Matthews (2) With Jon Pertwee & Enid Heard,Childrens
Jethro Tull,BoogerJam
Jim Backus,Holiday
Jim Croce,SingSong
Jim Reeves,Country
Jimi Hendrix,BoogerJam
Jimi Hendrix,PROTO
Jiminy Cricket,Childrens
Jimmie Rodgers,Country
Jimmie Rodgers (2) With The Hugo Peretti Orchestra,Country
Jimmy Boyd,Country
Jimmy Buffett,SingSong
Jimmy Cliff,Ska/Punk/Reggae
Jimmy Dean,Country
Jimmy Dorsey And His Orchestra,Jazz
Jimmy Haynie,Country
Jimmy Lee Fautheree,Country
Jimmy McCracklin,R&B
Jimmy McGriff Organ And Blues Band,Jazz
Jimmy Reed,Country
Jimmy Scott,R&B
Jimmy Smith,Jazz
Jimmy Soul,R&B
Jiro Inagaki & Chuck Rainey Rhythm Section,Jazz
JJ Grey & Mofro,Blues
Jo Stafford,Vocal
Jo Stafford With Paul Weston And His Orchestra / Jo Stafford With Paul Weston And His Orchestra & The Norman Luboff Choir,Vocal
Joan Armatrading,SingSong
Joan Jett,Riot Grrrl Pluse Sic
Joan Jett & The Blackhearts,Riot Grrrl Pluse Sic
Joanna Newsom,SingSong
Joe Cocker,British Invasion
Joe Hayman (2),Jazz
Joe Henderson,Jazz
Joe Hisaishi,Stage & Screen
Joe Jackson,SingSong
Joe Lewis (3),Country
Joe Maphis,Billy
Joe Morris Orchestra Featuring Al Savage,Jazz
Joe Pass,Jazz
Joe Strummer,SingSong
Joe Strummer & The Mescaleros,SingSong
Joe Tex,R&B
Joe Turner & His Blues Kings,Blues
Joe Venuti And Zoot Sims,Jazz
Joe Walsh,Super
Joey Dee & The Starliters,SodaPop
Joey Valence & Brae,Rap/Hip-hop
"Johann Pachelbel, Orchestre De Chambre Jean-Fran�ois Paillard",Classical
Johann Sebastian Bach,Classical
"Johann Sebastian Bach - Concentus Musicus Wien, Alice Harnoncourt, Jürg Schaeftlein, Herbert Tachezi, Nikolaus Harnoncourt",Classical
"Johann Sebastian Bach - Frans Brüggen, Gustav Leonhardt, Anner Bylsma",Classical
"Johann Sebastian Bach - Heinz Holliger, The Academy Of St. Martin-in-the-Fields, Iona Brown",Classical
"Johann Sebastian Bach - Martin Galling, Helmuth Rilling, Rolf Reinhardt",Classical
Johann Sebastian Bach - Nikolaus Harnoncourt,Classical
"Johann Sebastian Bach - Philomusica Of London, Thurston Dart",Classical
"Johann Sebastian Bach / Antonio Vivaldi - Arthur Grumiaux, Koji Toyoda, Heinz Holliger, Edo De Waart",Classical
"Johann Sebastian Bach / David Oistrach Und Igor Oistrach - Moscow Chamber Orchestra , Dirigent Rudolf Barshai",Classical
"Johann Sebastian Bach, Concentus Musicus Wien · Nikolaus Harnoncourt",Classical
"Johann Sebastian Bach, Concentus Musicus Wien, Nikolaus Harnoncourt",Classical
"Johann Sebastian Bach, Don Smithers, William Neil, Clarion Consort",Classical
"Johann Sebastian Bach, George Malcolm, Yehudi Menuhin Conducting Menuhin Festival Orchestra With David Munrow & John Turner (5)",Classical
"Johann Sebastian Bach, Münchener Bach-Orchester, Nürnberger Symphoniker",Classical
"Johann Sebastian Bach, Milan Munclinger, Josef Hála, František Sláma",Classical
"Johann Sebastian Bach, Nikolaus Harnoncourt",Classical
"Johann Sebastian Bach, Orchestre Pro Arte De Munich Under The Direction Of Kurt Redel, Robert Veyron-Lacroix",Classical
Johann Strauss Jr.,Classical
Johann Strauss Jr. - Wiener Philharmoniker,Classical
"Johannes Brahms - Bruno Walter, Columbia Symphony Orchestra",Classical
"Johannes Brahms - Emil Gilels, Berliner Philharmoniker, Eugen Jochum",Classical
Johannes Brahms / Nathan Milstein / Philharmonia Orchestra / Anatole Fistoulari,Classical
"Johannes Brahms, Bruno Walter, Columbia Symphony Orchestra",Classical
"Johannes Brahms, Columbia Symphony Orchestra, Bruno Walter",Classical
"John A. Richards, Cliff ""Ukulele Ike"" Edwards, Three Beaus & A Peep, Norman Leyden, Henri René, Frank Milano",Childrens
John Bird,Sound/Spoken/Comedy
John Cale,PROTO
John Coltrane,Jazz
John Cougar Mellencamp,SingSong
John Denver,SingSong
John Denver And The Muppets,Stage & Screen
John Jackson (4),Blues
John Lee Hooker,Blues
John Lennon,SingSong
John Lennon & Yoko Ono,SingSong
John Linnell,Childrens
John Mayall,British Invasion
John Mayall & The Bluesbreakers,British Invasion
John McCutcheon,Folk
John Paul Hammond,Blues
John Prine,SingSong
John Steel (7) / Henry Burr,SodaPop
John Williams (4),Classical
"John Williams (4), London Symphony Orchestra",Classical
John Williams (7),Classical
Johnnie And Jack,Billy
Johnnie Proby,AtlantaVerse
Johnnie Ray With Joe Reisman And His Orchestra,Vocal
Johnnie Taylor,R&B
"Johnny Ace, Johnny Board & Orch.",R&B
Johnny Cash,Cash-Carter Fam
Johnny Cash & Jerry Lee Lewis,Cash-Carter Fam
Johnny Cash & The Tennessee Two,Cash-Carter Fam
Johnny Cash Accompanied By The Tennessee Three,Cash-Carter Fam
Johnny Cash With Carl Perkins And The Tennessee Three,Cash-Carter Fam
Johnny Crawford,Country
Johnny Dilks & His Visitacion Valley Boys,Billy
Johnny Hammond,Jazz
Johnny Holmes,Billy
Johnny Horton,Country
Johnny Maddox (2) And The Rhythmasters,Jazz
Johnny Mandel Orchestra,Jazz
Johnny Marr,PROTO
Johnny Mathis,Vocal
Johnny Mercer And The Pied Pipers With Paul Weston And His Orchestra / Johnny Mercer With Jo Stafford And Paul Weston And His Orchestra,Jazz
Johnny Mercer And The Pied Pipers With Paul Weston And His Orchestra / June Hutton And The Pied Pipers With Paul Weston And His Orchestra,Jazz
Johnny Paycheck,Country
Johnny Shines,Blues
Johnny Thunder,R&B
Jon & Robin And The In Crowd (3),Mini Garage
Jon Jarvis (2),Jazz
Jon Rauhouse,Country
Jon Wayne,SodaPop
Jonathan Richman,PROTO
Jonathan Richman & The Modern Lovers,PROTO
Joni Mitchell,SingSong
Joni Mitchell And The L.A. Express,SingSong
Jontavious Willis,AtlantaVerse
Joseph Haydn,Classical
Joseph Haydn - Collegium Aureum,Classical
Joseph Haydn - Fritz Reiner,Classical
Joseph Haydn - The Academy Of Ancient Music / Christopher Hogwood,Classical
"Joseph Haydn / Michael Haydn ; The Academy Of St. Martin-in-the-Fields, Sir Neville Marriner",Classical
Joseph Haydn / Quartett Collegium Aureum,Classical
Josephine James And Sister Bertha Robinson,Religious
Josh White,Blues
Joshua Redman,Jazz
Joshua Redman Quartet,Jazz
"Joshua Redman, Gabrielle Cavassa",Jazz
Jotin Bhattacharya,International
Journey,Super
Joy Division,SodaPop
Joybang!,AtlantaVerse
JR JR,SodaPop
Judas Priest,Metal
Judith Sephuma,International
Julia Lee & Her Boy Friends,Blues
Julian Lage,Jazz
Julio Iglesias,Vocal
Jungle Brothers,Rap/Hip-hop
Junior Walker & The All Stars,R&B
Jurassic 5,Rap/Hip-hop
J�rg Schaeftlein / Concentus Musicus Wien,Classical
Justin Roberts,Childrens
Justin Wilson,Sound/Spoken/Comedy
K Michelle Dubois,AtlantaVerse
Kacey Musgraves,SingSong
Kailash Kher & Kailasa,International
Kaina Castillo,SingSong
Kanda Bongo Man,International
Kansas (2),Super
Kanye West,Rap/Hip-hop
Kara Jackson,SingSong
Katie Webster,International
"Kay Armen, Bob Hannon, Danny O'Neil (3)",Vocal
Kay Kyser And His Orchestra,Jazz
Kay Starr And Tennessee Ernie Ford,Country
K-Dee,Rap/Hip-hop
Kelly Hogan,AtlantaVerse
Kelly Hogan & The Pine Valley Cosmonauts,AtlantaVerse
Kelsey Lu,R&B
Ken Griffin (2),SodaPop
Kendrick Lamar,Rap/Hip-hop
Kenny Baker (4) & Josh Graves,Country
Kenny Burrell,Jazz
Kenny G (2),Jazz
Kenny Rogers,Country
Kenny Rogers & The First Edition,PsychPaisley
Kenny Wheeler,Jazz
Kerry King (2),Metal
Kersi Mistry,International
Ketty Lester,R&B
Kevin Ayers - John Cale - Brian Eno - Nico (3),PROTO
Kevn Kinney,AtlantaVerse
"Khan Bandhu, Mohammad Sayeed Khan, Ustad Mohammad Rashid Khan",International
"Khayyam, Sahir Ludhianvi",International
Kid Cudi,Rap/Hip-hop
Kid King's Combo,Blues
Kid Ory And His Creole Jazz Band,Jazz
Kid Thomas And His Algiers Stompers,Jazz
Kid Thomas Valentine,Jazz
Kim Fowley,SodaPop
King Crimson,PsychPaisley
King Curtis,Jazz
King Curtis,R&B
King Curtis & Champion Jack Dupree,R&B
King Sunny Ade & His African Beats,International
Kings Road,SodaPop
Kingston Trio,Folk
Kinky Friedman,SingSong
Kirby Ladner,SodaPop
Kishori Amonkar,International
Kiss,GLAM
Kiss,SodaPop
"Kiss, Ace Frehley",SodaPop
"Kiss, Gene Simmons",SodaPop
"Kiss, Peter Criss",SodaPop
Kitty Craft,Electronic
Kitty Wells,Country
Kneecap (2),Rap/Hip-hop
Kool & The Gang,R&B
Korn,Metal
Kraftwerk,Electronic
Kris Kristofferson,Country
Kukl,Riot Grrrl Pluse Sic
Kurt Weill and Bertolt Brecht,Stage & Screen
Kurt Weill Text By Bertolt Brecht,Stage & Screen
"Kurt Weill, Bertolt Brecht",Stage & Screen
Kurtis Blow,Rap/Hip-hop
Kyuss,Metal
L. Subramaniam,Jazz
L. Subramaniam & Stephane Grappelli,Jazz
LaBelle,R&B
Labi Siffre,R&B
Ladysmith Black Mambazo,International
Lakshmi Shankar,International
Lalgudi Jayaraman & Amjad Ali Khan,International
Lambchop,Country
"Lambert, Hendricks & Ross",R&B
Lana Del Rey,SingSong
Larry Darnell,R&B
Larry Finnegan,Vocal
Larry Williams And His Band,Billy
Last Words,Ska/Punk/Reggae
Lata Mangeshkar & Talat Mahmood,International
Latin All Stars (2),Electronic
Laufey (2),Jazz
Laufey (2),Vocal
Laughing Hyenas,Metal
Laurie Anderson,Riot Grrrl Pluse Sic
Laurie Berkner,Childrens
Lauryn Hill,R&B
Laxmikant-Pyarelal,International
Le Tigre,GLAM
Leadbelly,Blues
Led Zeppelin,PROTO
Lee Morgan,Jazz
Lefty Frizzell,Country
Leith Stevens,Stage & Screen
Lena Horne,Vocal
Lenny Bruce,Sound/Spoken/Comedy
Leo Kottke,AtlantaVerse
Leo Parker,Jazz
Leon Bibb,SingSong
Leon Redbone,SingSong
Leon Russell,SingSong
Leon Russell & Marc Benno,SingSong
Leonard Cohen,SingSong
Leonard Finseth,International
"Leopold Mozart, Lutz Lansemann",Classical
"Lerner & Loewe / Vanessa Redgrave, Richard Harris",Stage & Screen
Les Brown And His Orchestra,Jazz
Les McCann & Eddie Harris,Jazz
Les Paul & Mary Ford,Country
Les Paul & Mary Ford / Les Paul,Country
Les Troubadours Du Roi Baudouin,International
"Lester ""Roadhog"" Moran & The Cadillac Cowboys",Billy
Lester Flatt,Billy
Lester Flatt & Mac Wiseman,Billy
Lester Wilson,R&B
Lester Young,Jazz
Lester Young & Harry Edison,Jazz
Let's Active,AtlantaVerse
Levon Helm,Wilburys
Liars,SodaPop
Lightnin' Hopkins,Blues
Lightning Bolt,Electronic
Link Wray And His Ray Men,Billy
Linkin Park,SodaPop
Linz Symphony Orchestra,Classical
Lionel Bart,Stage & Screen
Lionel Hampton,Jazz
Lionel Hampton And His Orchestra,Jazz
Lionel Richie,R&B
"Lipps, Inc.",Electronic
Little Feat,BoogerJam
Little Jimmy Dickens,Country
Little Richard,PROTO
Little Richard And His Band,PROTO
Little Walter,Blues
Liz Phair,Riot Grrrl Pluse Sic
LL Cool J,Rap/Hip-hop
Lloyd Price With Don Costa Orchestra,R&B
Loggins And Messina,SodaPop
Loleatta Holloway,R&B
"London Philharmonic Orchestra, Douglas Gamley",Classical
Lone Justice,Billy
Long John Baldry,Blues
Lonnie Glosson And His Railroad Playboys,Country
Lonnie Liston Smith / Ali Shaheed Muhammad & Adrian Younge,Jazz
Lord Kitchener,International
Loretta Lynn,Country
Los Lobos,Billy
Los Straitjackets,Billy
Lou Christie,SodaPop
Lou Monte With Hugo Winterhalter Orchestra,Billy
Lou Reed,GLAM
Lou Reed,PROTO
Loudon Wainwright III,SingSong
Louis Armstrong,Jazz
Louis Armstrong & Duke Ellington,Jazz
Louis Armstrong And His All-Stars,Jazz
Louis Armstrong And His Friends,Jazz
Lounge Lizards,Jazz
Love And Rockets,PROTO
Love Tractor,AtlantaVerse
Love Unlimited,R&B
"Love, Peace & Happiness",R&B
Lowell Fulson,Blues
"Lucas Ruiz de Ribayaz, The Harp Consort, Andrew Lawrence-King",Classical
Lucinda Williams,SingSong
Lucky Dube,International
Lucy Dacus,SingSong
Ludwig van Beethoven,Classical
Ludwig van Beethoven - Christoph Eschenbach - Berliner Philharmoniker · Herbert von Karajan,Classical
"Ludwig van Beethoven - Christoph Eschenbach, London Symphony Orchestra . Hans Werner Henze",Classical
"Ludwig van Beethoven - Stephen Bishop (3), BBC Symphony Orchestra, Sir Colin Davis",Classical
"Ludwig van Beethoven : Yehudi Menuhin • Wilhelm Furtwängler, Philharmonia Orchestra",Classical
"Ludwig van Beethoven, Alfred Brendel",Classical
"Ludwig van Beethoven, Columbia Symphony Orchestra, Bruno Walter",Classical
"Ludwig van Beethoven, Georg Solti",Classical
"Ludwig van Beethoven, Jean-Pierre Rampal, Alain Marion, Christian Lardé, Paul Hongne, Robert Veyron-Lacroix",Classical
"Ludwig van Beethoven, Murray Perahia",Classical
"Ludwig van Beethoven, New Philharmonia Chorus, London Philharmonic Orchestra, Carlo Maria Giulini, Heather Harper, Janet Baker, Robert Tear, Hans Sotin",Classical
"Ludwig van Beethoven, Paul Badura-Skoda , Piano, Collegium Aureum",Classical
"Ludwig van Beethoven, Wilhelm Backhaus, Clemens Krauss, Wiener Philharmoniker",Classical
Lynn Anderson,Country
Lynyrd Skynyrd,BoogerJam
M83,Electronic
Ma Rainey,Blues
Mac Davis,Country
Mad Mike And The Maniacs,Mini Garage
Madan Mohan,International
Madeline Kenney,SingSong
Madness,Ska/Punk/Reggae
Magnapop,AtlantaVerse
Mahalia Jackson,Religious
Mahalia Jackson & Friends,Religious
Mahalia Jackson And The Falls-Jones Ensemble,Religious
"Mahlathini And The Mahotella Queens, Soul Brothers (2)",International
Major Lance,R&B
Mal Waldron,Jazz
Malcolm McLaren,PROTO
Malini Rajurkar,International
Mallard,Antelope Valley
Man Or Astro-Man?,AtlantaVerse
Manas Chakraborty,International
Mandingo Featuring Foday Musa Suso,International
Mandrill,R&B
Maneskin,GLAM
Manfred Mann's Earth Band,SodaPop
Manhar Udhas,International
"Manhar Udhas, Radha Saluja, Arun Amin",International
Manhattans,R&B
Mano Negra,Ska/Punk/Reggae
Mantovani,SodaPop
Mantovani And His Orchestra,SodaPop
Manu Dibango,International
Marc Bolan & T. Rex,GLAM
Marcia Ball,Blues
Margaret Whiting,Vocal
Margo Price,Country
Marie Knight And The Nightingales,Religious
Mario Lanza,Vocal
Marlo Thomas And Friends,Childrens
Martee Bradley,SodaPop
"Martha Argerich, Itzhak Perlman",Classical
Martha Reeves & The Vandellas,R&B
Martha Stewart (2),Vocal
Martha Tilton With Paul Weston And His Orchestra,Vocal
Martin Denny,Jazz
Martinho Da Vila,International
Marty Robbins,Country
Marv Johnson,R&B
Marvin Gaye,R&B
Marvin Gaye & Tammi Terrell,R&B
Marvin Gaye / Tammi Terrell,R&B
Mary J. Blige,R&B
Mary Wells,R&B
Masayoshi Takanaka,Jazz
Masego,Electronic
Mason Dixon,R&B
Mass Production,R&B
Massive Attack,Electronic
Master P,Rap/Hip-hop
Mastodon,AtlantaVerse
Mathew Tembo And The Dark Black,International
Maurice & Mac,R&B
Maurice André,Classical
Maurice Chevalier,International
Maurice Jarre,Stage & Screen
Maurice Ravel : Berliner Philharmoniker / Pierre Boulez,Classical
Mavis Staples,Religious
Max Bygraves,Vocal
Max Steiner,Stage & Screen
Max Tannone,SodaPop
Maxine Nightingale,R&B
Maya Hawke,SingSong
Maybelle Carter,Cash-Carter Fam
Mazzy Star,PsychPaisley
MC5,PROTO
McCoy Tyner,Jazz
McCoy Tyner & Jackie McLean,Jazz
McGuire Sisters,R&B
Mdou Moctar,Metal
Meat Loaf,SodaPop
Meat Puppets,SodaPop
Meena Kumari,International
Melanie,SingSong
Melle Mel & Duke Bootee,Rap/Hip-hop
Melody's Echo Chamber,Folk
Melts,AtlantaVerse
Melvins,Metal
Members Of The Duke Ellington Orchestra,Jazz
Memphis Slim,Blues
Memphis Slim And The House Rockers,Blues
Men At Work,SodaPop
Mental As Anything,SodaPop
Mercury Rev,PsychPaisley
Merle Haggard,Country
